TIME PERIOD,COUNTRY,ISO CODE,ACCOUNT INFORMATION REQUESTS,PERCENTAGE WHERE SOME INFORMATION PRODUCED,ACCOUNTS SPECIFIED,FLAGS,LINKS,REPORT LINKS
January - June 2016,Albania,AL,-,-,-,/content/dam/transparency-twitter/flags/1x1/al.svg,/en/countries/al.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Argentina,AR,18,22%,33,/content/dam/transparency-twitter/flags/1x1/ar.svg,/en/countries/ar.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Australia,AU,34,62%,47,/content/dam/transparency-twitter/flags/1x1/au.svg,/en/countries/au.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Austria,AT,1*,0%,1,/content/dam/transparency-twitter/flags/1x1/at.svg,/en/countries/at.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Bahrain,BH,3*,0%,3,/content/dam/transparency-twitter/flags/1x1/bh.svg,/en/countries/bh.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Bangladesh,BD,-,-,-,/content/dam/transparency-twitter/flags/1x1/bd.svg,/en/countries/bd.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Belgium,BE,67,88%,75,/content/dam/transparency-twitter/flags/1x1/be.svg,/en/countries/be.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Belize,BZ,-,-,-,/content/dam/transparency-twitter/flags/1x1/bz.svg,/en/countries/bz.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Bermuda,BM,1*,0%,1,/content/dam/transparency-twitter/flags/1x1/bm.svg,/en/countries/bm.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Brazil,BR,50,52%,259,/content/dam/transparency-twitter/flags/1x1/br.svg,/en/countries/br.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Bulgaria,BG,-,-,-,/content/dam/transparency-twitter/flags/1x1/bg.svg,/en/countries/bg.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Canada,CA,65,91%,69,/content/dam/transparency-twitter/flags/1x1/ca.svg,/en/countries/ca.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Chile,CL,2*,50%,2,/content/dam/transparency-twitter/flags/1x1/cl.svg,/en/countries/cl.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Colombia,CO,20,10%,32,/content/dam/transparency-twitter/flags/1x1/co.svg,/en/countries/co.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Croatia,HR,-,-,-,/content/dam/transparency-twitter/flags/1x1/hr.svg,/en/countries/hr.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Cyprus,CY,-,-,-,/content/dam/transparency-twitter/flags/1x1/cy.svg,/en/countries/cy.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Czech Republic,CZ,1,0%,2,/content/dam/transparency-twitter/flags/1x1/cz.svg,/en/countries/cz.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Denmark,DK,4,75%,10,/content/dam/transparency-twitter/flags/1x1/dk.svg,/en/countries/dk.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Dominican Republic,DO,2*,0%,2,/content/dam/transparency-twitter/flags/1x1/do.svg,/en/countries/do.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Ecuador,EC,2*,50%,5,/content/dam/transparency-twitter/flags/1x1/ec.svg,/en/countries/ec.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Egypt,EG,-,-,-,/content/dam/transparency-twitter/flags/1x1/eg.svg,/en/countries/eg.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,El Salvador,SV,4,0%,4,/content/dam/transparency-twitter/flags/1x1/sv.svg,/en/countries/sv.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Estonia,EE,1,0%,1,/content/dam/transparency-twitter/flags/1x1/ee.svg,/en/countries/ee.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Finland,FI,1*,100%,1,/content/dam/transparency-twitter/flags/1x1/fi.svg,/en/countries/fi.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,France,FR,572,76%,687,/content/dam/transparency-twitter/flags/1x1/fr.svg,/en/countries/fr.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Germany,DE,111,58%,165,/content/dam/transparency-twitter/flags/1x1/de.svg,/en/countries/de.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Greece,GR,6,33%,7,/content/dam/transparency-twitter/flags/1x1/gr.svg,/en/countries/gr.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Hong Kong,HK,1,0%,1,/content/dam/transparency-twitter/flags/1x1/hk.svg,/en/countries/hk.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,India,IN,139,31%,495,/content/dam/transparency-twitter/flags/1x1/in.svg,/en/countries/in.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Indonesia,ID,6*,67%,6,/content/dam/transparency-twitter/flags/1x1/id.svg,/en/countries/id.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Ireland,IE,4,75%,4,/content/dam/transparency-twitter/flags/1x1/ie.svg,/en/countries/ie.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Israel,IL,3,33%,6,/content/dam/transparency-twitter/flags/1x1/il.svg,/en/countries/il.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Italy,IT,58,47%,80,/content/dam/transparency-twitter/flags/1x1/it.svg,/en/countries/it.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Japan,JP,732,61%,988,/content/dam/transparency-twitter/flags/1x1/jp.svg,/en/countries/jp.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Jordan,JO,5*,20%,5,/content/dam/transparency-twitter/flags/1x1/jo.svg,/en/countries/jo.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Kenya,KE,1*,100%,1,/content/dam/transparency-twitter/flags/1x1/ke.svg,/en/countries/ke.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Kuwait,KW,5*,40%,5,/content/dam/transparency-twitter/flags/1x1/kw.svg,/en/countries/kw.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Lebanon,LB,3,0%,3,/content/dam/transparency-twitter/flags/1x1/lb.svg,/en/countries/lb.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Lithuania,LT,1,0%,1,/content/dam/transparency-twitter/flags/1x1/lt.svg,/en/countries/lt.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Luxembourg,LU,-,-,-,/content/dam/transparency-twitter/flags/1x1/lu.svg,/en/countries/lu.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Macedonia,MK,2,0%,2,/content/dam/transparency-twitter/flags/1x1/mk.svg,/en/countries/mk.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Malaysia,MY,4*,25%,4,/content/dam/transparency-twitter/flags/1x1/my.svg,/en/countries/my.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Maldives,MV,-,-,-,/content/dam/transparency-twitter/flags/1x1/mv.svg,/en/countries/mv.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Malta,MT,2,0%,2,/content/dam/transparency-twitter/flags/1x1/mt.svg,/en/countries/mt.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Mexico,MX,6,0%,29,/content/dam/transparency-twitter/flags/1x1/mx.svg,/en/countries/mx.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Mongolia,MN,1*,0%,1,/content/dam/transparency-twitter/flags/1x1/mn.svg,/en/countries/mn.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Montenegro,ME,-,-,-,/content/dam/transparency-twitter/flags/1x1/me.svg,/en/countries/me.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Netherlands,NL,8,38%,11,/content/dam/transparency-twitter/flags/1x1/nl.svg,/en/countries/nl.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,New Zealand,NZ,-,-,-,/content/dam/transparency-twitter/flags/1x1/nz.svg,/en/countries/nz.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Nigeria,NG,1*,100%,1,/content/dam/transparency-twitter/flags/1x1/ng.svg,/en/countries/ng.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Norway,NO,2*,100%,2,/content/dam/transparency-twitter/flags/1x1/no.svg,/en/countries/no.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Oman,OM,-,-,-,/content/dam/transparency-twitter/flags/1x1/om.svg,/en/countries/om.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Pakistan,PK,6,0%,22,/content/dam/transparency-twitter/flags/1x1/pk.svg,/en/countries/pk.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Peru,PE,-,-,-,/content/dam/transparency-twitter/flags/1x1/pe.svg,/en/countries/pe.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Philippines,PH,1,0%,1,/content/dam/transparency-twitter/flags/1x1/ph.svg,/en/countries/ph.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Poland,PL,4,0%,8,/content/dam/transparency-twitter/flags/1x1/pl.svg,/en/countries/pl.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Portugal,PT,3,0%,3,/content/dam/transparency-twitter/flags/1x1/pt.svg,/en/countries/pt.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Qatar,QA,1,0%,1,/content/dam/transparency-twitter/flags/1x1/qa.svg,/en/countries/qa.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Russia,RU,2,0%,2,/content/dam/transparency-twitter/flags/1x1/ru.svg,/en/countries/ru.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Saudi Arabia,SA,99*,85%,156,/content/dam/transparency-twitter/flags/1x1/sa.svg,/en/countries/sa.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Serbia,RS,5*,20%,6,/content/dam/transparency-twitter/flags/1x1/rs.svg,/en/countries/rs.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Singapore,SG,7*,57%,7,/content/dam/transparency-twitter/flags/1x1/sg.svg,/en/countries/sg.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,South Korea,KR,23,39%,39,/content/dam/transparency-twitter/flags/1x1/kr.svg,/en/countries/kr.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,South Sudan,SS,-,-,-,/content/dam/transparency-twitter/flags/1x1/ss.svg,/en/countries/ss.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Spain,ES,117,57%,295,/content/dam/transparency-twitter/flags/1x1/es.svg,/en/countries/es.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Sri Lanka,LK,-,-,-,/content/dam/transparency-twitter/flags/1x1/lk.svg,/en/countries/lk.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Sweden,SE,7,57%,9,/content/dam/transparency-twitter/flags/1x1/se.svg,/en/countries/se.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Switzerland,CH,2*,50%,2,/content/dam/transparency-twitter/flags/1x1/ch.svg,/en/countries/ch.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Thailand,TH,-,-,-,/content/dam/transparency-twitter/flags/1x1/th.svg,/en/countries/th.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Trinidad and Tobago,TT,-,-,-,/content/dam/transparency-twitter/flags/1x1/tt.svg,/en/countries/tt.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Turkey,TR,280,0%,443,/content/dam/transparency-twitter/flags/1x1/tr.svg,/en/countries/tr.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,United Arab Emirates,AE,19*,26%,25,/content/dam/transparency-twitter/flags/1x1/ae.svg,/en/countries/ae.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,United Kingdom,UK,631,76%,"1,071",/content/dam/transparency-twitter/flags/1x1/gb.svg,/en/countries/uk.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,United States,US,"2,520",82%,"8,009",/content/dam/transparency-twitter/flags/1x1/us.svg,/en/countries/us.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,Venezuela,VE,-,-,-,/content/dam/transparency-twitter/flags/1x1/ve.svg,/en/countries/ve.html,/en/information-requests.html#information-requests-jan-jun-2016
January - June 2016,TOTAL,,"5,676",69%,"13,152",,,