country,region,year,sum_total_requests_made_yr,total_requests_made,freedom_score,sum_accounts_specified_yr
Paraguay,Americas,2019,0,0,65,0
Philippines,Asia,2019,0,0,61,2
Poland,Europe,2019,0,0,84,12
Portugal,Europe,2019,0,0,96,0
Qatar,MENA,2019,0,0,25,5
Russian Federation,Eurasia,2019,711,711,20,3809
Saudi Arabia,MENA,2019,0,0,7,1
Serbia,Europe,2019,0,0,67,2
Singapore,Asia,2019,0,0,51,2
Slovenia,Europe,2019,0,0,94,0
South Africa,SSA,2019,0,0,79,4
South Korea,Asia,2019,42,42,83,3046
Spain,Europe,2019,1,1,94,10
Sri Lanka,Asia,2019,0,0,56,0
Sweden,Europe,2019,0,0,100,0
Switzerland,Europe,2019,0,0,96,1
Thailand,Asia,2019,0,0,30,0
Turkey,Europe,2019,388,388,31,8993
Ukraine,Eurasia,2019,0,0,60,22
United Arab Emirates,MENA,2019,0,0,17,4869
United Kingdom,Europe,2019,0,0,93,110
United States,Americas,2019,2,2,86,732
Uruguay,Americas,2019,0,0,98,4
Uzbekistan,Eurasia,2019,0,0,9,0
Venezuela,Americas,2019,0,0,19,0
Australia,Asia,2013,2,0,97,2
Brazil,Americas,2013,22,12,81,61
Canada,Americas,2013,1,0,98,1
Ecuador,Americas,2013,1,0,60,1
France,Europe,2013,312,309,95,160
Germany,Europe,2013,6,2,96,5
Greece,Europe,2013,2,2,83,3
Hong Kong,Asia,2013,1,1,67,1
India,Asia,2013,10,8,76,56
Indonesia,Asia,2013,2,0,65,2
Ireland,Europe,2013,1,1,97,1
Italy,Europe,2013,1,1,88,1
Japan,Asia,2013,4,2,88,3
Kuwait,MENA,2013,2,2,41,3
Mexico,Americas,2013,1,1,65,2
Netherlands,Europe,2013,2,0,99,2
Pakistan,Asia,2013,0,0,42,0
Russian Federation,Eurasia,2013,31,14,27,31
South Korea,Asia,2013,1,0,86,1
Spain,Europe,2013,1,0,96,3
Turkey,Europe,2013,9,2,61,32
United Arab Emirates,MENA,2013,2,2,22,5
United Kingdom,Europe,2013,11,9,97,11
United States,Americas,2013,10,8,93,22
Venezuela,Americas,2013,2,1,39,14
Argentina,Americas,2014,1,1,80,2
Australia,Asia,2014,0,0,97,0
Brazil,Americas,2014,35,27,81,205
Canada,Americas,2014,8,5,98,8
Colombia,Americas,2014,1,0,62,1
Cyprus,Europe,2014,1,0,92,1
Ecuador,Americas,2014,1,1,60,3
France,Europe,2014,143,35,95,150
Germany,Europe,2014,45,43,96,45
Greece,Europe,2014,3,1,83,4
Hong Kong,Asia,2014,1,0,67,1
India,Asia,2014,20,15,77,24
Indonesia,Asia,2014,0,0,64,0
Ireland,Europe,2014,2,0,97,13
Italy,Europe,2014,0,0,90,0
Japan,Asia,2014,27,19,90,57
Kazakhstan,Eurasia,2014,1,1,25,2
Kenya,SSA,2014,1,1,53,1
Kuwait,MENA,2014,7,2,39,9
Mexico,Americas,2014,2,2,65,34
Netherlands,Europe,2014,17,14,99,17
Norway,Europe,2014,2,0,100,1
Pakistan,Asia,2014,16,4,42,125
Russian Federation,Eurasia,2014,123,91,26,125
South Korea,Asia,2014,2,2,85,2
Spain,Europe,2014,3,1,96,6
Turkey,Europe,2014,663,477,60,2946
United Arab Emirates,MENA,2014,1,0,21,13
United Kingdom,Europe,2014,39,22,97,62
United States,Americas,2014,63,32,92,102
Venezuela,Americas,2014,0,0,38,0
Argentina,Americas,2015,0,0,80,0
Australia,Asia,2015,3,3,97,2
Bosnia and Herzegovina,Europe,2015,1,1,60,1
Brazil,Americas,2015,39,18,81,135
Canada,Americas,2015,9,8,98,9
Colombia,Americas,2015,3,3,63,3
Cyprus,Europe,2015,0,0,93,0
Czech Republic,Europe,2015,1,1,95,1
Dominican Republic,Americas,2015,11,11,73,11
Ecuador,Americas,2015,16,16,59,20
Egypt,MENA,2015,1,1,26,1
France,Europe,2015,186,154,95,342
Georgia,Eurasia,2015,1,1,64,1
Germany,Europe,2015,24,10,96,30
Greece,Europe,2015,4,4,83,4
Hong Kong,Asia,2015,0,0,65,0
India,Asia,2015,73,40,78,112
Indonesia,Asia,2015,11,8,64,886
Iraq,MENA,2015,1,0,24,0
Ireland,Europe,2015,0,0,97,0
Italy,Europe,2015,6,4,89,7
Japan,Asia,2015,53,37,94,316
Kazakhstan,Eurasia,2015,5,4,24,22
Kenya,SSA,2015,1,1,51,1
Kuwait,MENA,2015,3,3,37,3
Luxembourg,Europe,2015,1,1,98,1
Malaysia,Asia,2015,4,3,46,25
Mexico,Americas,2015,1,0,64,1
Mongolia,Asia,2015,116,111,86,116
Netherlands,Europe,2015,9,5,99,10
New Zealand,Asia,2015,1,1,97,0
Norway,Europe,2015,0,0,100,0
Pakistan,Asia,2015,18,12,42,93
Russian Federation,Eurasia,2015,1803,1735,23,1951
Saudi Arabia,MENA,2015,1,1,10,1
Serbia,Europe,2015,1,1,80,1
South Korea,Asia,2015,119,79,84,190
Spain,Europe,2015,8,6,96,7
Turkey,Europe,2015,2929,2211,55,10070
United Arab Emirates,MENA,2015,0,0,21,0
United Kingdom,Europe,2015,31,22,97,135
United States,Americas,2015,126,101,92,178
Venezuela,Americas,2015,0,0,35,0
Afghanistan,Asia,2016,1,1,24,1
Argentina,Americas,2016,2,2,79,1
Australia,Asia,2016,9,4,98,39
Austria,Europe,2016,2,2,95,4
Azerbaijan,Eurasia,2016,13,1,16,12
Belarus,Eurasia,2016,1,1,17,1
Belgium,Europe,2016,1,1,96,47
Bosnia and Herzegovina,Europe,2016,0,0,57,0
Brazil,Americas,2016,87,47,81,286
Canada,Americas,2016,22,11,99,42
Chile,Americas,2016,1,0,95,1
Colombia,Americas,2016,7,3,63,7
Cyprus,Europe,2016,0,0,94,0
Czech Republic,Europe,2016,0,0,95,0
Dominican Republic,Americas,2016,0,0,70,0
Ecuador,Americas,2016,2,1,59,17
Egypt,MENA,2016,0,0,27,0
Estonia,Europe,2016,2,2,94,2
Finland,Europe,2016,0,0,100,0
France,Europe,2016,1800,1334,91,2188
Georgia,Eurasia,2016,2,0,64,2
Germany,Europe,2016,299,236,95,465
Greece,Europe,2016,4,4,83,4
Haiti,Americas,2016,1,1,41,1
Hong Kong,Asia,2016,0,0,63,0
India,Asia,2016,140,97,77,424
Indonesia,Asia,2016,206,176,65,795
Iraq,MENA,2016,0,0,27,0
Ireland,Europe,2016,14,8,96,43
Israel,MENA,2016,13,12,80,35
Italy,Europe,2016,6,6,89,6
Japan,Asia,2016,149,82,96,465
Kazakhstan,Eurasia,2016,4,4,24,4
Kenya,SSA,2016,0,0,51,0
Kuwait,MENA,2016,9,4,36,20
Lebanon,MENA,2016,2,0,43,2
Luxembourg,Europe,2016,1,1,98,1
Malaysia,Asia,2016,4,2,45,6
Maldives,Asia,2016,1,0,43,1
Mexico,Americas,2016,5,3,65,5
Mongolia,Asia,2016,1,0,86,0
Netherlands,Europe,2016,9,3,99,10
New Zealand,Asia,2016,5,4,98,9
Norway,Europe,2016,1,1,100,1
Pakistan,Asia,2016,22,13,41,51
Philippines,Asia,2016,5,4,65,4
Portugal,Europe,2016,1,1,97,1
Russian Federation,Eurasia,2016,2123,522,22,2318
Saudi Arabia,MENA,2016,1,1,10,2
Serbia,Europe,2016,1,0,78,1
Singapore,Asia,2016,2,0,51,2
South Africa,SSA,2016,2,1,79,2
South Korea,Asia,2016,73,56,83,158
Spain,Europe,2016,34,14,95,48
Sweden,Europe,2016,2,0,100,2
Switzerland,Europe,2016,1,1,96,1
Thailand,Asia,2016,3,3,32,5
Turkey,Europe,2016,5569,3076,53,23370
United Arab Emirates,MENA,2016,9,8,20,31
United Kingdom,Europe,2016,240,66,95,2328
United States,Americas,2016,202,102,90,314
Uzbekistan,Eurasia,2016,2,2,3,2
Venezuela,Americas,2016,2,1,35,6
Afghanistan,Asia,2017,0,0,24,0
Argentina,Americas,2017,9,2,82,12
Australia,Asia,2017,11,4,98,16
Austria,Europe,2017,1,1,95,1
Azerbaijan,Eurasia,2017,0,0,14,0
Bahrain,MENA,2017,2,0,12,2
Belarus,Eurasia,2017,0,0,20,0
Belgium,Europe,2017,6,3,95,6
Bosnia and Herzegovina,Europe,2017,0,0,55,0
Brazil,Americas,2017,76,42,79,372
Canada,Americas,2017,18,7,99,21
Chile,Americas,2017,1,0,94,1
Colombia,Americas,2017,5,2,64,5
Croatia,Europe,2017,1,0,87,1
Cyprus,Europe,2017,0,0,94,0
Czech Republic,Europe,2017,0,0,94,0
Dominican Republic,Americas,2017,2,0,68,2
Ecuador,Americas,2017,7,4,57,10
Egypt,MENA,2017,0,0,26,0
Estonia,Europe,2017,0,0,94,0
Finland,Europe,2017,3,2,100,15
France,Europe,2017,1121,82,90,1316
Georgia,Eurasia,2017,0,0,64,0
Germany,Europe,2017,476,33,95,536
Greece,Europe,2017,3,1,84,4
Haiti,Americas,2017,0,0,39,0
Hong Kong,Asia,2017,2,0,61,2
India,Asia,2017,248,144,77,1141
Indonesia,Asia,2017,122,65,65,289
Iraq,MENA,2017,1,1,27,1
Ireland,Europe,2017,17,9,96,28
Israel,MENA,2017,7,5,80,7
Italy,Europe,2017,14,9,89,12
Japan,Asia,2017,268,164,96,1061
Kazakhstan,Eurasia,2017,0,0,22,0
Kenya,SSA,2017,1,0,51,1
Kuwait,MENA,2017,11,8,36,18
Lebanon,MENA,2017,0,0,44,0
Luxembourg,Europe,2017,1,1,98,2
Malaysia,Asia,2017,15,13,44,19
Maldives,Asia,2017,1,1,40,2
Mexico,Americas,2017,13,8,65,12
Mongolia,Asia,2017,0,0,85,0
Nepal,Asia,2017,8,0,52,8
Netherlands,Europe,2017,15,3,99,15
New Zealand,Asia,2017,0,0,98,0
Norway,Europe,2017,0,0,100,0
Pakistan,Asia,2017,99,75,43,756
Paraguay,Americas,2017,1,0,64,1
Philippines,Asia,2017,1,0,63,1
Poland,Europe,2017,6,3,89,5
Portugal,Europe,2017,1,1,97,1
Qatar,MENA,2017,2,1,26,2
Russian Federation,Eurasia,2017,2505,1292,20,2531
Saudi Arabia,MENA,2017,7,3,10,8
Serbia,Europe,2017,0,0,76,0
Singapore,Asia,2017,0,0,51,0
South Africa,SSA,2017,0,0,78,0
South Korea,Asia,2017,178,145,82,645
Spain,Europe,2017,32,15,94,95
Sri Lanka,Asia,2017,1,1,56,1
Sweden,Europe,2017,1,1,100,2
Switzerland,Europe,2017,2,2,96,4
Thailand,Asia,2017,1,0,32,1
Turkey,Europe,2017,7004,4294,38,15833
Ukraine,Eurasia,2017,1,0,61,2
United Arab Emirates,MENA,2017,29,14,20,126
United Kingdom,Europe,2017,160,94,95,383
United States,Americas,2017,211,89,89,423
Uruguay,Americas,2017,6,5,98,8
Uzbekistan,Eurasia,2017,0,0,3,0
Venezuela,Americas,2017,3,2,30,4
Afghanistan,Asia,2018,0,0,26,0
Argentina,Americas,2018,12,2,83,125
Australia,Asia,2018,8,1,98,29
Austria,Europe,2018,1,0,94,3
Azerbaijan,Eurasia,2018,1,0,12,1
Bahrain,MENA,2018,2,0,12,2
Belarus,Eurasia,2018,0,0,21,0
Belgium,Europe,2018,0,0,95,0
Bosnia and Herzegovina,Europe,2018,0,0,55,0
Brazil,Americas,2018,134,92,78,601
Bulgaria,Europe,2018,0,0,80,7
Canada,Americas,2018,8,0,99,17
Chile,Americas,2018,0,0,94,0
Colombia,Americas,2018,2,0,65,6
Croatia,Europe,2018,0,0,86,0
Cyprus,Europe,2018,0,0,94,2
Czech Republic,Europe,2018,0,0,93,2
Denmark,Europe,2018,0,0,97,5
Dominican Republic,Americas,2018,3,0,67,4
Ecuador,Americas,2018,4,0,60,30
Egypt,MENA,2018,0,0,26,0
Estonia,Europe,2018,0,0,94,0
Finland,Europe,2018,0,0,100,0
France,Europe,2018,133,0,90,439
Georgia,Eurasia,2018,0,0,64,0
Germany,Europe,2018,36,3,94,98
Greece,Europe,2018,1,0,85,3
Haiti,Americas,2018,0,0,41,0
Hong Kong,Asia,2018,0,0,59,2
India,Asia,2018,256,10,77,3922
Indonesia,Asia,2018,189,0,64,4698
Iraq,MENA,2018,0,0,31,0
Ireland,Europe,2018,11,0,96,167
Israel,MENA,2018,3,0,79,45
Italy,Europe,2018,7,1,89,15
Japan,Asia,2018,212,16,96,2780
Kazakhstan,Eurasia,2018,2,0,22,6
Kenya,SSA,2018,0,0,48,0
Kuwait,MENA,2018,3,0,36,6
Kyrgyzstan,Eurasia,2018,4,4,37,37
Lebanon,MENA,2018,3,0,43,3
Luxembourg,Europe,2018,0,0,98,0
Malaysia,Asia,2018,12,0,45,39
Maldives,Asia,2018,0,0,35,0
Mexico,Americas,2018,4,2,62,26
Mongolia,Asia,2018,0,0,85,0
Nepal,Asia,2018,0,0,55,3
Netherlands,Europe,2018,3,0,99,12
New Zealand,Asia,2018,0,0,98,0
Norway,Europe,2018,0,0,100,0
Oman,MENA,2018,3,0,23,37
Pakistan,Asia,2018,244,1,43,5353
Panama,Americas,2018,36,32,83,55
Paraguay,Americas,2018,0,0,64,0
Philippines,Asia,2018,0,0,62,2
Poland,Europe,2018,3,0,85,19
Portugal,Europe,2018,0,0,97,0
Qatar,MENA,2018,0,0,24,12
Russian Federation,Eurasia,2018,1957,316,20,5444
Saudi Arabia,MENA,2018,8,0,7,15
Serbia,Europe,2018,0,0,73,0
Singapore,Asia,2018,2,0,52,1
Slovenia,Europe,2018,0,0,93,1
South Africa,SSA,2018,0,0,78,0
South Korea,Asia,2018,196,53,84,2731
Spain,Europe,2018,14,4,94,51
Sri Lanka,Asia,2018,0,0,55,0
Sweden,Europe,2018,0,0,100,0
Switzerland,Europe,2018,0,0,96,0
Thailand,Asia,2018,0,0,31,1
Tunisia,MENA,2018,0,0,70,0
Turkey,Europe,2018,9585,597,32,22998
Ukraine,Eurasia,2018,0,0,62,1
United Arab Emirates,MENA,2018,111,0,17,4364
United Kingdom,Europe,2018,69,3,94,339
United States,Americas,2018,101,2,86,531
Uruguay,Americas,2018,0,0,98,0
Uzbekistan,Eurasia,2018,0,0,7,0
Venezuela,Americas,2018,0,0,26,0
