"","country","year","percentage_where_some_content_withheld","accounts_specified","accounts_withheld","tweets_withheld","accounts_tos","accounts_no_action","total_withholding_accounts_and_tweets","total_requests_made","gdp"
"306","India","2013",13,54,0,13,0,0,13,8,1856722121394.53
"307","Indonesia","2013",0,0,0,0,0,0,0,0,912524136718.018
"308","Ireland","2013",0,1,0,0,0,0,0,1,238543538776.684
"309","Italy","2013",0,1,0,0,0,0,0,1,2141315327318.21
"310","Japan","2013",50,1,0,10,0,0,10,2,5155717056270.83
"311","Kuwait","2013",0,3,0,0,0,0,0,2,174161495063.47
"312","Mexico","2013",0,2,0,0,0,0,0,1,1274443084716.57
"313","Netherlands","2013",0,0,0,0,0,0,0,0,876923518850.405
"314","Pakistan","2013",0,0,0,0,0,0,0,0,231218567178.979
"315","Russian Federation","2013",64,14,1,9,0,0,10,14,2297128039058.21
"316","South Korea","2013",0,0,0,0,0,0,0,0,1305604981271.91
"317","Spain","2013",0,0,0,0,0,0,0,0,1354757433212.72
"318","Turkey","2013",0,2,0,0,0,0,0,2,950579413122.56
"319","United Arab Emirates","2013",0,5,0,0,0,0,0,2,390107556160.654
"320","United Kingdom","2013",0,9,0,0,0,0,0,9,2786022872706.81
"321","United States","2013",0,11,0,0,0,0,0,8,16784849190000
"322","Venezuela","2013",0,13,0,0,0,0,0,1,371005379786.566
"323","Argentina","2014",0,2,0,0,0,0,0,1,526319673731.638
"324","Australia","2014",0,0,0,0,0,0,0,0,1467483705131.74
"325","Brazil","2014",30,191,5,101,0,0,106,27,2455994050148.75
"326","Canada","2014",0,3,0,0,0,0,0,5,1801480123070.82
"327","Colombia","2014",0,0,0,0,0,0,0,0,381112119657.445
"328","Cyprus","2014",0,0,0,0,0,0,0,0,23128114786.7676
"329","Ecuador","2014",0,3,0,0,0,0,0,1,101726331000
"330","France","2014",43,38,0,15,0,0,15,35,2852165760630.27
"331","Germany","2014",37,42,14,6,0,0,20,43,3883920155292.26
"332","Greece","2014",0,2,0,0,0,0,0,1,237029579260.722
"333","Hong Kong","2014",0,0,0,0,0,0,0,0,291459356985.337
"334","India","2014",7,15,1,0,0,0,1,15,2039127446298.55
"335","Indonesia","2014",0,0,0,0,0,0,0,0,890814755233.225
"336","Ireland","2014",0,0,0,0,0,0,0,0,258471885130.304
"337","Italy","2014",0,0,0,0,0,0,0,0,2159133919743.77
"338","Japan","2014",21,26,0,19,0,0,19,19,4850413536037.84
"339","Kazakhstan","2014",0,2,0,0,0,0,0,1,221415572819.5
"340","Kenya","2014",0,1,0,0,0,0,0,1,61448046801.6041
"341","Kuwait","2014",0,2,0,0,0,0,0,2,162631763879.129
"342","Mexico","2014",0,34,0,0,0,0,0,2,1314563967425.24
"343","Netherlands","2014",71,14,0,12,0,0,12,14,890981311077.658
"344","Norway","2014",0,0,0,0,0,0,0,0,498410050251.256
"345","Pakistan","2014",0,24,0,0,0,0,0,4,244360888750.807
"346","Russian Federation","2014",13,91,3,9,0,0,12,91,2059984158438.46
"347","South Korea","2014",0,2,0,0,0,0,0,2,1411333926201.24
"348","Spain","2014",0,2,0,0,0,0,0,1,1369398844599.58
"349","Turkey","2014",50,2642,62,1820,0,0,1882,477,934185915386.096
"350","United Arab Emirates","2014",0,0,0,0,0,0,0,0,403137100068.073
"351","United Kingdom","2014",0,40,0,0,0,0,0,22,3063803240208.01
"352","United States","2014",0,60,0,0,0,0,0,32,17521746534000
"353","Venezuela","2014",0,0,0,0,0,0,0,0,482359318767.703
"354","Argentina","2015",0,0,0,0,0,0,0,0,594749285413.212
"355","Australia","2015",0,2,0,0,0,2,0,3,1351693984524.5
"356","Bosnia and Herzegovina","2015",0,1,0,0,0,1,0,1,16211540686.1355
"357","Brazil","2015",22,107,1,107,8,23,108,18,1802214373741.32
"358","Canada","2015",0,8,0,0,6,2,0,8,1552899925233.71
"359","Colombia","2015",0,3,0,0,2,1,0,3,293481748240.779
"360","Cyprus","2015",0,0,0,0,0,0,0,0,19779150116.4984
"361","Czech Republic","2015",0,1,0,0,0,1,0,1,186829940545.759
"362","Dominican Republic","2015",0,11,0,0,3,8,0,11,71164826720.514
"363","Ecuador","2015",0,20,0,0,2,18,0,16,99290381000
"364","Egypt","2015",0,1,0,0,0,1,0,1,332698041030.807
"365","France","2015",19,305,2,74,91,158,76,154,2438207896251.84
"366","Georgia","2015",0,1,0,0,0,1,0,1,14953950557.4406
"367","Germany","2015",20,10,1,1,4,4,2,10,3360549973888.58
"368","Greece","2015",0,4,0,0,1,3,0,4,196591353761.226
"369","Hong Kong","2015",0,0,0,0,0,0,0,0,309383627028.561
"370","India","2015",0,47,0,0,21,26,0,40,2103587813812.75
"371","Indonesia","2015",0,8,0,0,5,3,0,8,860854235065.079
"372","Iraq","2015",0,0,0,0,0,0,0,0,177498577312.923
"373","Ireland","2015",0,0,0,0,0,0,0,0,291499812103.645
"374","Italy","2015",0,4,0,0,4,0,0,4,1835899237320.04
"375","Japan","2015",3,130,0,1,81,48,1,37,4389475622588.97
"376","Kazakhstan","2015",0,18,0,0,13,5,0,4,184388432148.715
"377","Kenya","2015",0,1,0,0,0,1,0,1,64007750178.5014
"378","Kuwait","2015",0,3,0,0,2,1,0,3,114567298105.683
"379","Luxembourg","2015",0,1,0,0,0,1,0,1,57744457954.7297
"380","Malaysia","2015",0,24,0,0,23,1,0,3,301354756113.174
"381","Mexico","2015",0,0,0,0,0,0,0,0,1170564619927.69
"382","Mongolia","2015",0,111,0,0,23,88,0,111,11749620619.5962
"383","Netherlands","2015",40,6,0,3,0,4,3,5,765264949780.999
"384","New Zealand","2015",0,0,0,0,0,0,0,1,177208110322.704
"385","Norway","2015",0,0,0,0,0,0,0,0,385801550067.169
"386","Pakistan","2015",0,33,0,0,9,24,0,12,270556131701.171
"387","Russian Federation","2015",5,1774,14,82,1306,380,96,1735,1363594369577.82
"388","Saudi Arabia","2015",0,1,0,0,0,1,0,1,654269902880
"389","Serbia","2015",0,1,0,0,0,1,0,1,39628550868.7509
"390","South Korea","2015",0,131,0,0,61,70,0,79,1382764027113.82
"391","Spain","2015",0,6,0,0,1,5,0,6,1195119269971.52
"392","Turkey","2015",23,8092,414,3003,530,4992,3417,2211,859796872677.614
"393","United Arab Emirates","2015",0,0,0,0,0,0,0,0,358135057862.492
"394","United Kingdom","2015",5,120,0,82,11,32,82,22,2928591002002.51
"395","United States","2015",0,107,0,0,58,49,0,101,18219297584000
"396","Venezuela","2015",0,0,0,0,0,0,0,0,NA
"397","Afghanistan","2016",0,1,0,0,0,0,0,1,19362642266.6484
"398","Argentina","2016",0,1,0,0,1,0,0,2,557531376217.967
"399","Australia","2016",0,4,0,0,3,0,0,4,1208846993739.99
"400","Austria","2016",0,4,0,0,3,0,0,2,395227684138.862
"401","Azerbaijan","2016",0,0,0,0,0,0,0,1,37867518957.1975
"402","Belarus","2016",0,1,0,0,0,0,0,1,47722657820.6675
"403","Belgium","2016",0,47,0,0,44,0,0,1,476056833074.336
"404","Bosnia and Herzegovina","2016",0,0,0,0,0,0,0,0,16913330693.9653
"405","Brazil","2016",17,114,2,15,21,0,17,47,1796275437087.99
"406","Canada","2016",0,29,0,0,14,0,0,11,1526705529135.32
"407","Chile","2016",0,0,0,0,0,0,0,0,250339863130.847
"408","Colombia","2016",0,3,0,0,2,0,0,3,282825009887.458
"409","Cyprus","2016",0,0,0,0,0,0,0,0,20890936462.2537
"410","Czech Republic","2016",0,0,0,0,0,0,0,0,195090272402.729
"411","Dominican Republic","2016",0,0,0,0,0,0,0,0,75704647977.3087
"412","Ecuador","2016",0,16,0,0,0,0,0,1,99937696000
"413","Egypt","2016",0,0,0,0,0,0,0,0,332927833278.038
"414","Estonia","2016",0,2,0,0,2,0,0,2,23996451497.6139
"415","Finland","2016",0,0,0,0,0,0,0,0,240570297852.344
"416","France","2016",23,1430,14,335,298,0,349,1334,2471285607081.72
"417","Georgia","2016",0,0,0,0,0,0,0,0,15141758566.7808
"418","Germany","2016",41,322,2,121,49,0,123,236,3466790065011.83
"419","Greece","2016",0,4,0,0,4,0,0,4,195222443512.937
"420","Haiti","2016",0,1,0,0,0,0,0,1,7970649131.23416
"421","Hong Kong","2016",0,0,0,0,0,0,0,0,320860698504.309
"422","India","2016",0,295,0,0,104,0,0,97,2290432075123.75
"423","Indonesia","2016",0,682,0,0,527,0,0,176,931877364177.742
"424","Iraq","2016",0,0,0,0,0,0,0,0,174878976033.941
"425","Ireland","2016",13,32,0,7,5,0,7,8,300523297712.96
"426","Israel","2016",17,34,0,16,2,0,16,12,318950599017.506
"427","Italy","2016",0,6,0,0,2,0,0,6,1875579883543.09
"428","Japan","2016",6,296,0,23,80,0,23,82,4926667087367.51
"429","Kazakhstan","2016",0,4,0,0,3,0,0,4,137278320084.171
"430","Kenya","2016",0,0,0,0,0,0,0,0,69188755511.0911
"431","Kuwait","2016",0,11,0,0,9,0,0,4,109420059582.92
"432","Lebanon","2016",0,0,0,0,0,0,0,0,51239050082.9187
"433","Luxembourg","2016",0,1,0,0,0,0,0,1,60691483443.1221
"434","Malaysia","2016",0,2,0,0,0,0,0,2,301255454041.415
"435","Maldives","2016",0,0,0,0,0,0,0,0,4379136461.83077
"436","Mexico","2016",0,3,0,0,1,0,0,3,1077903618176.07
"437","Mongolia","2016",0,0,0,0,0,0,0,0,11186734674.3847
"438","Netherlands","2016",33,3,1,2,2,0,3,3,783528181704.567
"439","New Zealand","2016",0,7,0,0,3,0,0,4,187854022728.459
"440","Norway","2016",0,1,0,0,1,0,0,1,368827142857.143
"441","Pakistan","2016",0,19,0,0,12,0,0,13,278654637737.69
"442","Philippines","2016",0,3,0,0,2,0,0,4,304897590205.413
"443","Portugal","2016",0,1,0,0,1,0,0,1,206286022781.894
"444","Russian Federation","2016",28,620,55,89,282,0,144,522,1282723881134.01
"445","Saudi Arabia","2016",0,2,0,0,1,0,0,1,644935541440
"446","Serbia","2016",0,0,0,0,0,0,0,0,40630392018.541
"447","Singapore","2016",0,0,0,0,0,0,0,0,318068476293.883
"448","South Africa","2016",0,1,0,0,0,0,0,1,296357282715.109
"449","South Korea","2016",0,141,0,0,102,0,0,56,1414804158515.26
"450","Spain","2016",0,21,0,0,10,0,0,14,1232076017361.53
"451","Sweden","2016",0,0,0,0,0,0,0,0,515744370225.386
"452","Switzerland","2016",0,1,0,0,0,0,0,1,671308872735.114
"453","Thailand","2016",0,5,0,0,5,0,0,3,412352789519.611
"454","Turkey","2016",19,8417,290,489,544,0,779,3076,863721648068.806
"455","United Arab Emirates","2016",0,30,0,0,25,0,0,8,357045064669.843
"456","United Kingdom","2016",6,238,3,16,15,0,19,66,2694283209613.29
"457","United States","2016",0,164,0,0,64,0,0,102,18707188235000
"458","Uzbekistan","2016",0,2,0,0,2,0,0,2,81779012350.8833
"459","Venezuela","2016",0,1,0,0,0,0,0,1,NA
"460","Afghanistan","2017",0,0,0,0,0,0,0,0,20191764940.1602
"461","Argentina","2017",0,5,0,0,0,0,0,2,642695864756.35
"462","Australia","2017",25,10,2,0,8,0,2,4,1330135756844.41
"463","Austria","2017",0,1,0,0,0,0,0,1,417282900758.043
"464","Azerbaijan","2017",0,0,0,0,0,0,0,0,40865558912.3867
"465","Bahrain","2017",0,0,0,0,0,0,0,0,35432686170.2128
"466","Belarus","2017",0,0,0,0,0,0,0,0,54726595249.1849
"467","Belgium","2017",0,3,0,0,1,0,0,3,503004504395.429
"468","Bosnia and Herzegovina","2017",0,0,0,0,0,0,0,0,18080118128.3854
"469","Brazil","2017",12,101,3,19,14,0,22,42,2053594973992.61
"470","Canada","2017",0,9,0,0,6,0,0,7,1646867220617.47
"471","Chile","2017",0,0,0,0,0,0,0,0,277746461078.319
"472","Colombia","2017",0,2,0,0,1,0,0,2,311789874617.096
"473","Croatia","2017",0,0,0,0,0,0,0,0,55319620157.6135
"474","Cyprus","2017",0,0,0,0,0,0,0,0,22638608224.1301
"475","Czech Republic","2017",0,0,0,0,0,0,0,0,215913545038.43
"476","Dominican Republic","2017",0,0,0,0,0,0,0,0,79998045976.4898
"477","Ecuador","2017",0,7,0,0,1,0,0,4,104295862000
"478","Egypt","2017",0,0,0,0,0,0,0,0,235369129337.711
"479","Estonia","2017",0,0,0,0,0,0,0,0,26792757827.3154
"480","Finland","2017",0,14,0,0,3,0,0,2,254435041879.238
"481","France","2017",4,139,0,5,50,0,5,82,2586285406561.51
"482","Georgia","2017",0,0,0,0,0,0,0,0,16242956764.2957
"483","Germany","2017",9,67,2,11,30,0,13,33,3656749414477.08
"484","Greece","2017",0,2,0,0,0,0,0,1,203085551429.132
"485","Haiti","2017",0,0,0,0,0,0,0,0,8409497402.4589
"486","Hong Kong","2017",0,0,0,0,0,0,0,0,341687111841.092
"487","India","2017",3,800,17,32,143,0,49,144,2652242857923.91
"488","Indonesia","2017",0,196,0,0,82,0,0,65,1015423455783.28
"489","Iraq","2017",0,1,0,0,0,0,0,1,195473049875.108
"490","Ireland","2017",0,16,0,0,0,0,0,9,334834010485.56
"491","Israel","2017",0,5,0,0,4,0,0,5,353253406954.97
"492","Italy","2017",0,7,0,0,3,0,0,9,1956960611690.59
"493","Japan","2017",4,637,0,71,244,0,71,164,4859950558538.97
"494","Kazakhstan","2017",0,0,0,0,0,0,0,0,166805800595.704
"495","Kenya","2017",0,0,0,0,0,0,0,0,78757391333.0219
"496","Kuwait","2017",0,15,0,0,7,0,0,8,120707550280.251
"497","Lebanon","2017",0,0,0,0,0,0,0,0,53393799668.325
"498","Luxembourg","2017",0,2,0,0,0,0,0,1,64023412339.7075
"499","Malaysia","2017",0,17,0,0,2,0,0,13,318958236443.122
"500","Maldives","2017",0,2,0,0,0,0,0,1,4735989972.05433
"501","Mexico","2017",0,8,0,0,5,0,0,8,1157736189998.15
"502","Mongolia","2017",0,0,0,0,0,0,0,0,11425755279.5395
"503","Nepal","2017",0,0,0,0,0,0,0,0,25180583769.9244
"504","Netherlands","2017",33,3,0,2,2,0,2,3,831809944960.879
"505","New Zealand","2017",0,0,0,0,0,0,0,0,202590814084.991
"506","Norway","2017",0,0,0,0,0,0,0,0,398393955268.99
"507","Pakistan","2017",0,674,0,0,42,0,0,75,304567253219.097
"508","Paraguay","2017",0,0,0,0,0,0,0,0,39008900331.6733
"509","Philippines","2017",0,0,0,0,0,0,0,0,313619747740.186
"510","Poland","2017",0,2,0,0,0,0,0,3,526216495118.144
"511","Portugal","2017",0,1,0,0,1,0,0,1,220811110492.149
"512","Qatar","2017",0,1,0,0,1,0,0,1,166928571428.571
"513","Russian Federation","2017",51,1306,23,630,224,0,653,1292,1578624060588.26
"514","Saudi Arabia","2017",0,3,0,0,0,0,0,3,688586133333.333
"515","Serbia","2017",0,0,0,0,0,0,0,0,44120424391.86
"516","Singapore","2017",0,0,0,0,0,0,0,0,338406474038.67
"517","South Africa","2017",0,0,0,0,0,0,0,0,349554116683.818
"518","South Korea","2017",0,577,0,0,394,0,0,145,1530750923148.7
"519","Spain","2017",0,58,0,0,8,0,0,15,1309309642308.24
"520","Sri Lanka","2017",0,1,0,0,0,0,0,1,88019706803.834
"521","Sweden","2017",0,2,0,0,2,0,0,1,540545236387.733
"522","Switzerland","2017",0,4,0,0,2,0,0,2,679950915261.122
"523","Thailand","2017",0,0,0,0,0,0,0,0,455275517239.347
"524","Turkey","2017",3,6544,148,322,2157,0,470,4294,852676778300.885
"525","Ukraine","2017",0,0,0,0,0,0,0,0,112190355158.178
"526","United Arab Emirates","2017",0,72,0,0,62,0,0,14,377701060177.47
"527","United Kingdom","2017",20,165,7,30,13,0,37,94,2666229179958.01
"528","United States","2017",0,162,0,0,64,0,0,89,19485393853000
"529","Uruguay","2017",0,7,0,0,7,0,0,5,56488991831.0239
"530","Uzbekistan","2017",0,0,0,0,0,0,0,0,59159945320.5667
"531","Venezuela","2017",0,2,0,0,0,0,0,2,NA
"532","Afghanistan","2018",0,0,0,0,0,0,0,0,19362969582.3643
"533","Argentina","2018",33,115,0,0,24,0,0,2,519871519807.795
"534","Australia","2018",15,20,0,8,4,0,8,1,1433904348500.12
"535","Austria","2018",0,2,0,0,0,0,0,0,455285818035.125
"536","Azerbaijan","2018",0,0,0,0,0,0,0,0,46939529411.7647
"537","Bahrain","2018",0,0,0,0,0,0,0,0,37746196808.5106
"538","Belarus","2018",0,0,0,0,0,0,0,0,59662495092.2654
"539","Belgium","2018",0,0,0,0,0,0,0,0,542761092103.469
"540","Bosnia and Herzegovina","2018",0,0,0,0,0,0,0,0,20161865419.4327
"541","Brazil","2018",29,512,1,142,35,0,143,92,1868626087908.48
"542","Bulgaria","2018",0,7,0,0,3,0,0,0,65132951116.4756
"543","Canada","2018",0,9,0,0,3,0,0,0,1713341704877.01
"544","Chile","2018",0,0,0,0,0,0,0,0,298231133532.749
"545","Colombia","2018",0,4,0,0,1,0,0,0,331047040087.878
"546","Croatia","2018",0,0,0,0,0,0,0,0,60971699315.1776
"547","Cyprus","2018",0,2,0,0,1,0,0,0,24961988663.2026
"548","Czech Republic","2018",0,2,0,0,1,0,0,0,245225882903.37
"549","Denmark","2018",0,5,0,0,3,0,0,0,355675329085.952
"550","Dominican Republic","2018",0,1,0,0,0,0,0,0,85555390387.0355
"551","Ecuador","2018",0,25,0,0,20,0,0,0,108398058000
"552","Egypt","2018",0,0,0,0,0,0,0,0,250894760351.232
"553","Estonia","2018",0,0,0,0,0,0,0,0,30732144528.9795
"554","Finland","2018",0,0,0,0,0,0,0,0,276743120515.764
"555","France","2018",8,126,1,6,58,0,7,0,2777535239277.98
"556","Georgia","2018",0,0,0,0,0,0,0,0,17599660629.0202
"557","Germany","2018",12,44,0,39,10,0,39,3,3947620162502.96
"558","Greece","2018",0,2,0,0,0,0,0,0,218031844583.994
"559","Haiti","2018",0,0,0,0,0,0,0,0,9658721168.86849
"560","Hong Kong","2018",0,2,0,0,1,0,0,0,362682018243.286
"561","India","2018",2,2228,95,114,320,0,209,10,2718732231257.57
"562","Indonesia","2018",0,3015,0,0,366,0,0,0,1042173300625.55
"563","Iraq","2018",0,0,0,0,0,0,0,0,224228010477.889
"564","Ireland","2018",0,107,0,0,1,0,0,0,382487490532.479
"565","Israel","2018",0,3,0,0,2,0,0,0,370587977153.583
"566","Italy","2018",0,9,0,0,4,0,0,1,2083864259622.65
"567","Japan","2018",2,1679,0,363,1187,0,363,16,4971323079771.87
"568","Kazakhstan","2018",0,0,0,0,0,0,0,0,179339994859.384
"569","Kenya","2018",0,0,0,0,0,0,0,0,87908262519.9164
"570","Kuwait","2018",0,3,0,0,0,0,0,0,140645364238.411
"571","Kyrgyzstan","2018",0,37,0,0,8,0,0,4,8092836608.78875
"572","Lebanon","2018",0,0,0,0,0,0,0,0,56639155555.5556
"573","Luxembourg","2018",0,0,0,0,0,0,0,0,70885325883.0941
"574","Macedonia","2018",0,4,0,0,0,0,0,0,12672131053.1578
"575","Malaysia","2018",0,10,0,0,1,0,0,0,358581943446.259
"576","Maldives","2018",0,0,0,0,0,0,0,0,5327457149.72581
"577","Mexico","2018",0,22,0,0,8,0,0,2,1220699479845.98
"578","Mongolia","2018",0,0,0,0,0,0,0,0,13066749138.3261
"579","Nepal","2018",0,3,0,0,3,0,0,0,29040398982.3466
"580","Netherlands","2018",0,8,0,0,0,0,0,0,913658465709.125
"581","New Zealand","2018",0,0,0,0,0,0,0,0,204923917869.355
"582","Norway","2018",0,0,0,0,0,0,0,0,434166615431.909
"583","Oman","2018",0,2,0,0,1,0,0,0,79276723016.9051
"584","Pakistan","2018",0,2349,0,0,204,0,0,1,314588210501.063
"585","Panama","2018",0,51,0,0,0,0,0,32,65055100000
"586","Paraguay","2018",0,0,0,0,0,0,0,0,40496953779.071
"587","Philippines","2018",0,2,0,0,2,0,0,0,330910343610.956
"588","Poland","2018",0,5,0,0,0,0,0,0,585663814824.044
"589","Portugal","2018",0,0,0,0,0,0,0,0,240674524464.24
"590","Qatar","2018",0,12,0,0,1,0,0,0,191362087912.088
"591","Russian Federation","2018",46,3391,15,1441,1124,0,1456,316,1657554647149.87
"592","Saudi Arabia","2018",0,6,0,0,3,0,0,0,786521831571.957
"593","Serbia","2018",0,0,0,0,0,0,0,0,50597289146.7041
"594","Singapore","2018",0,0,0,0,0,0,0,0,364156657769.87
"595","Slovenia","2018",0,1,0,0,0,0,0,0,54007972106.4629
"596","South Africa","2018",0,0,0,0,0,0,0,0,368288939768.322
"597","South Korea","2018",0,1712,0,0,1461,0,0,53,1619423701169.63
"598","Spain","2018",0,41,0,2,11,0,2,4,1419041949909.82
"599","Sri Lanka","2018",0,0,0,0,0,0,0,0,88900770857.6351
"600","Sweden","2018",0,0,0,0,0,0,0,0,556086488936.559
"601","Switzerland","2018",0,0,0,0,0,0,0,0,705140354166.312
"602","Thailand","2018",0,1,0,0,0,0,0,0,504992757704.997
"603","Tunisia","2018",0,0,0,0,0,0,0,0,39871132267.9361
"604","Turkey","2018",4,9155,72,355,1588,0,427,597,771350330455.267
"605","Ukraine","2018",0,1,0,0,0,0,0,0,130832374404.882
"606","United Arab Emirates","2018",0,2155,0,0,1994,0,0,0,414178942592.479
"607","United Kingdom","2018",2,90,0,1,23,0,1,3,2855296731521.96
"608","United States","2018",0,303,0,0,245,0,0,2,20544343456936.5
"609","Uruguay","2018",0,0,0,0,0,0,0,0,59596885024.3487
"610","Uzbekistan","2018",0,0,0,0,0,0,0,0,50499921557.5105
"611","Venezuela","2018",0,0,0,0,0,0,0,0,NA
