"","clean","country","both"
"1","'Afghanistan'","'Afghanistan'","'Afghanistan' = 'Afghanistan' ,"
"2","'Argentina'","'Argentina'","'Argentina' = 'Argentina' ,"
"3","'Australia'","'Australia'","'Australia' = 'Australia' ,"
"4","'Austria'","'Austria'","'Austria' = 'Austria' ,"
"5","'Azerbaijan'","'Azerbaijan'","'Azerbaijan' = 'Azerbaijan' ,"
"6","'Bahrain'","'Bahrain'","'Bahrain' = 'Bahrain' ,"
"7","'Belarus'","'Belarus'","'Belarus' = 'Belarus' ,"
"8","'Belgium'","'Belgium'","'Belgium' = 'Belgium' ,"
"9","'Bosnia and Herzegovina'","'Bosnia and Herzegovina'","'Bosnia and Herzegovina' = 'Bosnia and Herzegovina' ,"
"10","'Brazil'","'Brazil'","'Brazil' = 'Brazil' ,"
"11","'Bulgaria'","'Bulgaria'","'Bulgaria' = 'Bulgaria' ,"
"12","'Canada'","'Canada'","'Canada' = 'Canada' ,"
"13","'Chile'","'Chile'","'Chile' = 'Chile' ,"
"14","'Colombia'","'Colombia'","'Colombia' = 'Colombia' ,"
"15","'Croatia'","'Croatia'","'Croatia' = 'Croatia' ,"
"16","'Cyprus'","'Cyprus'","'Cyprus' = 'Cyprus' ,"
"17","'Czech Republic'","'Czech Republic'","'Czech Republic' = 'Czech Republic' ,"
"18","'Denmark'","'Denmark'","'Denmark' = 'Denmark' ,"
"19","'Dominican Republic'","'Dominican Republic'","'Dominican Republic' = 'Dominican Republic' ,"
"20","'Ecuador'","'Ecuador'","'Ecuador' = 'Ecuador' ,"
"21","'Egypt'","'Egypt'","'Egypt' = 'Egypt' ,"
"22","'Estonia'","'Estonia'","'Estonia' = 'Estonia' ,"
"23","'Finland'","'Finland'","'Finland' = 'Finland' ,"
"24","'France'","'France'","'France' = 'France' ,"
"25","'Georgia'","'Georgia'","'Georgia' = 'Georgia' ,"
"26","'Germany'","'Germany'","'Germany' = 'Germany' ,"
"27","'Greece'","'Greece'","'Greece' = 'Greece' ,"
"28","'Haiti'","'Haiti'","'Haiti' = 'Haiti' ,"
"29","'Hong Kong'","'Hong Kong'","'Hong Kong' = 'Hong Kong' ,"
"30","'India'","'India'","'India' = 'India' ,"
"31","'Indonesia'","'Indonesia'","'Indonesia' = 'Indonesia' ,"
"32","'Iraq'","'Iraq'","'Iraq' = 'Iraq' ,"
"33","'Ireland'","'Ireland'","'Ireland' = 'Ireland' ,"
"34","'Israel'","'Israel'","'Israel' = 'Israel' ,"
"35","'Italy'","'Italy'","'Italy' = 'Italy' ,"
"36","'Japan'","'Japan'","'Japan' = 'Japan' ,"
"37","'Kazakhstan'","'Kazakhstan'","'Kazakhstan' = 'Kazakhstan' ,"
"38","'Kenya'","'Kenya'","'Kenya' = 'Kenya' ,"
"39","'Kuwait'","'Kuwait'","'Kuwait' = 'Kuwait' ,"
"40","'Kyrgyzstan'","'Kyrgyzstan'","'Kyrgyzstan' = 'Kyrgyzstan' ,"
"41","'Lebanon'","'Lebanon'","'Lebanon' = 'Lebanon' ,"
"42","'Luxembourg'","'Luxembourg'","'Luxembourg' = 'Luxembourg' ,"
"43","'Macedonia'","'Macedonia'","'Macedonia' = 'Macedonia' ,"
"44","'Malaysia'","'Malaysia'","'Malaysia' = 'Malaysia' ,"
"45","'Maldives'","'Maldives'","'Maldives' = 'Maldives' ,"
"46","'Mexico'","'Mexico'","'Mexico' = 'Mexico' ,"
"47","'Mongolia'","'Mongolia'","'Mongolia' = 'Mongolia' ,"
"48","'Nepal'","'Nepal'","'Nepal' = 'Nepal' ,"
"49","'Netherlands'","'Netherlands'","'Netherlands' = 'Netherlands' ,"
"50","'New Zealand'","'New Zealand'","'New Zealand' = 'New Zealand' ,"
"51","'Norway'","'Norway'","'Norway' = 'Norway' ,"
"52","'Oman'","'Oman'","'Oman' = 'Oman' ,"
"53","'Pakistan'","'Pakistan'","'Pakistan' = 'Pakistan' ,"
"54","'Panama'","'Panama'","'Panama' = 'Panama' ,"
"55","'Paraguay'","'Paraguay'","'Paraguay' = 'Paraguay' ,"
"56","'Philippines'","'Philippines'","'Philippines' = 'Philippines' ,"
"57","'Poland'","'Poland'","'Poland' = 'Poland' ,"
"58","'Portugal'","'Portugal'","'Portugal' = 'Portugal' ,"
"59","'Qatar'","'Qatar'","'Qatar' = 'Qatar' ,"
"60","'Russian Federation'","'Russian Federation'","'Russian Federation' = 'Russian Federation' ,"
"61","'Saudi Arabia'","'Saudi Arabia'","'Saudi Arabia' = 'Saudi Arabia' ,"
"62","'Serbia'","'Serbia'","'Serbia' = 'Serbia' ,"
"63","'Singapore'","'Singapore'","'Singapore' = 'Singapore' ,"
"64","'Slovenia'","'Slovenia'","'Slovenia' = 'Slovenia' ,"
"65","'South Africa'","'South Africa'","'South Africa' = 'South Africa' ,"
"66","'South Korea'","'South Korea'","'South Korea' = 'South Korea' ,"
"67","'Spain'","'Spain'","'Spain' = 'Spain' ,"
"68","'Sri Lanka'","'Sri Lanka'","'Sri Lanka' = 'Sri Lanka' ,"
"69","'Sweden'","'Sweden'","'Sweden' = 'Sweden' ,"
"70","'Switzerland'","'Switzerland'","'Switzerland' = 'Switzerland' ,"
"71","'Thailand'","'Thailand'","'Thailand' = 'Thailand' ,"
"72","'Tunisia'","'Tunisia'","'Tunisia' = 'Tunisia' ,"
"73","'Turkey'","'Turkey'","'Turkey' = 'Turkey' ,"
"74","'Ukraine'","'Ukraine'","'Ukraine' = 'Ukraine' ,"
"75","'United Arab Emirates'","'United Arab Emirates'","'United Arab Emirates' = 'United Arab Emirates' ,"
"76","'United Kingdom'","'United Kingdom'","'United Kingdom' = 'United Kingdom' ,"
"77","'United States'","'United States'","'United States' = 'United States' ,"
"78","'Uruguay'","'Uruguay'","'Uruguay' = 'Uruguay' ,"
"79","'Uzbekistan'","'Uzbekistan'","'Uzbekistan' = 'Uzbekistan' ,"
"80","'Venezuela'","'Venezuela'","'Venezuela' = 'Venezuela' ,"
